Sex,Marital status,Age,Education,Income,Occupation,Settlement size
male,single,28,unknown,120712,skilled employee,mid-sized city
male,non-single,34,high school,175367,unemployed,small city
male,single,32,unknown,111418,skilled employee,mid-sized city
female,non-single,26,high school,110913,skilled employee,small city
male,non-single,49,universty,84267,unemployed,small city
female,non-single,32,high school,136886,skilled employee,big city
male,single,29,unknown,144884,highly qualified employee,big city
male,single,23,unknown,151180,skilled employee,mid-sized city
male,single,50,high school,114997,skilled employee,mid-sized city
male,single,49,high school,100961,unemployed,small city
male,single,63,universty,124849,skilled employee,big city
male,non-single,37,high school,152308,skilled employee,big city
female,non-single,35,high school,167945,unemployed,mid-sized city
male,single,26,unknown,126706,skilled employee,big city
male,single,31,unknown,210017,highly qualified employee,big city
female,non-single,49,universty,125665,skilled employee,mid-sized city
male,non-single,48,universty,111184,skilled employee,mid-sized city
male,non-single,26,high school,94134,skilled employee,small city
male,non-single,28,high school,214620,highly qualified employee,mid-sized city
female,non-single,44,universty,193816,highly qualified employee,mid-sized city
male,single,56,high school,168714,skilled employee,mid-sized city
male,non-single,46,universty,202997,highly qualified employee,mid-sized city
female,non-single,26,high school,192451,skilled employee,big city
female,non-single,20,high school,127928,skilled employee,big city
male,single,45,high school,78253,unemployed,small city
male,single,43,high school,118446,skilled employee,mid-sized city
male,single,32,unknown,161379,skilled employee,big city
female,non-single,54,universty,56622,unemployed,small city
female,non-single,42,universty,146117,skilled employee,mid-sized city
male,single,37,high school,90418,unemployed,small city
male,single,49,high school,109053,skilled employee,small city
male,single,44,high school,219319,skilled employee,small city
male,non-single,33,high school,144701,skilled employee,mid-sized city
female,non-single,24,high school,102425,unemployed,small city
male,non-single,33,high school,79867,unemployed,small city
female,non-single,24,high school,107114,skilled employee,big city
male,non-single,22,high school,62263,unemployed,small city
male,single,40,high school,92567,unemployed,small city
male,single,25,unknown,146349,skilled employee,small city
female,non-single,26,high school,141825,skilled employee,mid-sized city
male,non-single,25,high school,68582,unemployed,small city
male,single,29,unknown,85476,unemployed,small city
male,single,31,unknown,111091,skilled employee,big city
male,single,38,high school,67110,unemployed,small city
female,non-single,48,universty,126154,unemployed,small city
male,single,32,unknown,92257,skilled employee,big city
female,non-single,27,high school,93605,unemployed,small city
male,non-single,28,high school,165190,highly qualified employee,small city
male,non-single,32,high school,107195,skilled employee,small city
male,single,34,high school,145059,highly qualified employee,small city
male,single,28,unknown,148363,skilled employee,small city
female,non-single,36,high school,105681,skilled employee,big city
male,single,39,high school,93732,unemployed,small city
male,single,49,high school,154778,skilled employee,big city
female,non-single,34,high school,149356,skilled employee,big city
male,single,31,unknown,145670,skilled employee,mid-sized city
male,single,28,unknown,101589,skilled employee,big city
male,single,75,universty,213333,highly qualified employee,mid-sized city
female,non-single,30,high school,122420,skilled employee,small city
female,non-single,24,high school,209856,highly qualified employee,mid-sized city
female,non-single,24,high school,181003,unemployed,small city
male,single,23,unknown,117804,skilled employee,mid-sized city
male,non-single,44,universty,160650,highly qualified employee,mid-sized city
female,non-single,23,high school,84611,unemployed,small city
female,non-single,24,high school,98479,skilled employee,big city
male,single,28,unknown,122359,skilled employee,big city
male,non-single,31,high school,81394,unemployed,small city
female,non-single,24,high school,150372,skilled employee,mid-sized city
female,non-single,26,high school,92385,unemployed,small city
male,non-single,25,high school,149851,skilled employee,big city
male,single,33,high school,167939,highly qualified employee,mid-sized city
male,single,37,high school,115426,unemployed,small city
female,non-single,43,universty,85402,unemployed,small city
male,single,23,unknown,95815,skilled employee,big city
female,non-single,23,high school,97518,unemployed,small city
male,single,34,high school,87355,unemployed,small city
male,single,32,unknown,145933,skilled employee,mid-sized city
female,non-single,23,high school,97307,skilled employee,small city
female,non-single,29,high school,108434,skilled employee,big city
male,single,38,high school,151312,highly qualified employee,mid-sized city
male,single,28,unknown,141847,skilled employee,mid-sized city
male,single,46,high school,130675,skilled employee,big city
male,single,23,unknown,69309,unemployed,small city
male,single,49,high school,121466,skilled employee,big city
male,single,26,unknown,153586,highly qualified employee,big city
male,non-single,28,high school,92849,skilled employee,small city
female,non-single,23,high school,108539,skilled employee,big city
male,single,61,universty,129556,skilled employee,big city
male,single,37,high school,170146,highly qualified employee,small city
female,non-single,36,high school,135383,skilled employee,mid-sized city
male,non-single,21,high school,96769,skilled employee,big city
male,single,25,unknown,43684,unemployed,small city
male,single,36,high school,103521,skilled employee,small city
male,single,27,unknown,118499,skilled employee,mid-sized city
female,non-single,22,high school,119684,skilled employee,big city
male,single,42,high school,126586,skilled employee,mid-sized city
female,non-single,40,universty,136812,skilled employee,big city
male,single,36,high school,118277,skilled employee,mid-sized city
male,single,33,high school,144597,skilled employee,mid-sized city
female,non-single,23,high school,106043,skilled employee,small city
male,single,63,universty,272314,highly qualified employee,big city
female,non-single,60,universty,309364,highly qualified employee,big city
female,non-single,37,high school,170386,skilled employee,mid-sized city
male,non-single,34,high school,112458,skilled employee,small city
male,single,36,high school,96840,skilled employee,mid-sized city
male,single,57,universty,281923,highly qualified employee,mid-sized city
female,non-single,52,universty,95551,unemployed,small city
male,single,39,high school,112347,skilled employee,big city
female,non-single,38,high school,260977,highly qualified employee,big city
female,non-single,25,high school,99354,skilled employee,small city
male,single,26,unknown,111509,skilled employee,big city
male,single,26,unknown,105252,unemployed,small city
female,non-single,25,high school,108522,skilled employee,small city
female,non-single,21,high school,94655,skilled employee,mid-sized city
male,single,40,high school,201699,highly qualified employee,mid-sized city
male,single,27,unknown,139868,skilled employee,big city
female,non-single,27,high school,102543,skilled employee,mid-sized city
male,non-single,30,high school,134467,highly qualified employee,big city
female,non-single,19,high school,111187,unemployed,small city
male,single,39,high school,152302,highly qualified employee,mid-sized city
female,non-single,31,high school,110610,skilled employee,big city
male,single,31,unknown,137827,highly qualified employee,big city
male,single,32,unknown,220923,skilled employee,big city
female,non-single,55,universty,165717,highly qualified employee,big city
male,non-single,46,universty,122299,skilled employee,small city
male,non-single,46,universty,120499,skilled employee,small city
female,non-single,43,universty,126449,unemployed,small city
male,non-single,39,high school,108315,skilled employee,big city
male,non-single,28,high school,112515,skilled employee,mid-sized city
male,single,27,unknown,164559,skilled employee,mid-sized city
male,single,27,unknown,59238,unemployed,small city
male,single,43,high school,131133,skilled employee,small city
male,non-single,22,high school,109188,skilled employee,small city
male,single,43,high school,115393,skilled employee,mid-sized city
male,non-single,27,high school,94711,skilled employee,big city
male,non-single,26,high school,171860,highly qualified employee,small city
male,non-single,28,high school,139414,skilled employee,big city
female,non-single,20,high school,110931,skilled employee,mid-sized city
male,single,35,high school,187549,highly qualified employee,big city
male,single,42,high school,145508,highly qualified employee,small city
male,single,40,high school,104240,unemployed,small city
female,non-single,35,high school,108272,skilled employee,mid-sized city
male,single,35,high school,144004,skilled employee,big city
male,single,33,high school,81083,unemployed,small city
female,non-single,23,high school,166763,skilled employee,mid-sized city
female,non-single,31,high school,175530,highly qualified employee,mid-sized city
female,non-single,33,high school,112422,skilled employee,mid-sized city
female,non-single,20,high school,154134,skilled employee,big city
male,single,30,unknown,112401,skilled employee,mid-sized city
male,single,47,high school,85690,unemployed,small city
male,single,34,high school,145896,highly qualified employee,big city
female,non-single,25,high school,122552,skilled employee,big city
male,non-single,21,high school,115494,skilled employee,big city
male,single,29,unknown,109467,skilled employee,small city
male,single,46,high school,148226,skilled employee,big city
male,single,20,unknown,88559,skilled employee,mid-sized city
female,non-single,55,universty,62393,unemployed,small city
male,single,74,universty,122133,unemployed,small city
male,single,29,unknown,230883,highly qualified employee,big city
male,single,36,high school,136689,highly qualified employee,big city
male,non-single,33,high school,109145,skilled employee,small city
male,single,25,unknown,100449,skilled employee,big city
male,non-single,25,high school,106253,skilled employee,small city
male,non-single,23,high school,84747,unemployed,small city
female,non-single,37,high school,149465,skilled employee,mid-sized city
male,single,65,universty,84435,unemployed,small city
female,non-single,26,high school,51681,unemployed,small city
male,single,39,high school,139198,highly qualified employee,mid-sized city
female,non-single,30,high school,106577,skilled employee,mid-sized city
male,single,29,unknown,117372,skilled employee,big city
male,single,41,high school,69609,unemployed,small city
female,non-single,30,high school,178947,highly qualified employee,big city
female,non-single,41,universty,81743,unemployed,small city
female,non-single,34,high school,111900,skilled employee,mid-sized city
male,single,35,high school,121650,skilled employee,small city
female,non-single,55,universty,172639,highly qualified employee,big city
male,non-single,61,universty,175740,skilled employee,mid-sized city
male,single,30,unknown,220050,highly qualified employee,big city
female,non-single,29,high school,95200,skilled employee,mid-sized city
male,single,34,high school,113609,skilled employee,mid-sized city
male,single,35,high school,143552,highly qualified employee,big city
male,single,31,unknown,130973,skilled employee,big city
female,non-single,29,high school,145946,highly qualified employee,big city
male,single,36,high school,126206,skilled employee,mid-sized city
male,single,35,high school,120426,skilled employee,small city
female,non-single,27,high school,91925,skilled employee,big city
male,single,32,unknown,129630,skilled employee,big city
male,single,37,high school,124268,skilled employee,big city
male,single,36,high school,105240,skilled employee,mid-sized city
female,non-single,34,high school,162180,highly qualified employee,small city
male,single,38,high school,106552,skilled employee,big city
male,single,34,high school,105843,skilled employee,big city
male,single,63,universty,138327,skilled employee,mid-sized city
female,non-single,29,high school,76154,unemployed,small city
male,single,32,unknown,155012,skilled employee,mid-sized city
female,non-single,26,high school,114369,skilled employee,mid-sized city
male,single,35,high school,102839,unemployed,small city
male,non-single,22,high school,132796,skilled employee,small city
female,non-single,23,high school,89742,skilled employee,big city
male,single,28,unknown,58615,unemployed,small city
male,single,36,high school,130603,highly qualified employee,big city
male,non-single,33,high school,110340,skilled employee,small city
female,non-single,26,high school,117729,skilled employee,big city
male,single,24,unknown,130808,skilled employee,small city
male,single,25,unknown,147402,skilled employee,big city
male,single,39,high school,93567,unemployed,small city
male,single,44,high school,109289,skilled employee,mid-sized city
female,non-single,23,high school,98742,unemployed,small city
male,single,26,unknown,101270,skilled employee,small city
female,non-single,57,universty,187835,skilled employee,mid-sized city
female,non-single,30,high school,140741,skilled employee,small city
male,single,44,high school,133265,skilled employee,big city
male,single,47,high school,148100,highly qualified employee,big city
male,single,52,high school,131021,skilled employee,big city
female,non-single,62,universty,152620,skilled employee,big city
male,single,35,high school,85033,unemployed,small city
male,single,26,unknown,114514,skilled employee,mid-sized city
male,single,26,unknown,99307,skilled employee,mid-sized city
female,non-single,42,universty,219451,highly qualified employee,big city
female,non-single,27,high school,114007,skilled employee,small city
male,single,38,high school,102846,skilled employee,small city
male,single,39,high school,81483,unemployed,small city
male,non-single,20,high school,107779,skilled employee,big city
male,single,29,unknown,222360,highly qualified employee,big city
male,single,40,high school,107125,skilled employee,small city
male,non-single,32,high school,80080,unemployed,small city
male,non-single,28,high school,129600,skilled employee,small city
female,non-single,27,high school,118613,skilled employee,mid-sized city
male,single,42,high school,146237,skilled employee,mid-sized city
male,non-single,49,universty,144461,skilled employee,big city
male,single,38,high school,124487,skilled employee,small city
female,non-single,24,high school,97826,skilled employee,small city
male,single,27,unknown,64105,unemployed,small city
male,single,36,high school,156374,skilled employee,big city
male,single,34,high school,205383,highly qualified employee,big city
male,non-single,28,high school,98964,skilled employee,big city
male,single,45,high school,221842,highly qualified employee,big city
male,single,26,unknown,88027,skilled employee,big city
male,single,32,unknown,160513,highly qualified employee,big city
male,single,26,unknown,124536,skilled employee,big city
male,non-single,20,high school,93634,skilled employee,small city
male,single,54,high school,124725,skilled employee,small city
female,non-single,37,high school,102456,skilled employee,small city
male,single,40,high school,74975,unemployed,small city
female,non-single,23,high school,153861,skilled employee,mid-sized city
male,single,43,high school,119351,skilled employee,big city
male,single,36,high school,95438,skilled employee,big city
male,single,44,high school,147967,skilled employee,big city
female,non-single,24,high school,116863,skilled employee,mid-sized city
male,single,53,high school,170622,skilled employee,mid-sized city
female,non-single,23,high school,132426,skilled employee,mid-sized city
female,non-single,26,high school,77519,unemployed,small city
male,single,30,unknown,169405,skilled employee,big city
female,non-single,31,high school,120030,skilled employee,small city
male,single,42,high school,77933,unemployed,small city
male,non-single,31,high school,109892,skilled employee,mid-sized city
male,single,41,high school,69062,unemployed,small city
male,single,32,unknown,116348,skilled employee,small city
female,non-single,28,high school,137188,skilled employee,mid-sized city
male,non-single,41,high school,110199,skilled employee,small city
male,non-single,26,high school,109890,skilled employee,mid-sized city
male,single,25,unknown,109751,skilled employee,big city
male,non-single,33,high school,129651,skilled employee,mid-sized city
female,non-single,75,graduate school,170113,highly qualified employee,mid-sized city
female,non-single,37,high school,140285,skilled employee,mid-sized city
male,single,42,high school,198029,highly qualified employee,big city
female,non-single,45,universty,120262,unemployed,small city
male,non-single,23,high school,105137,skilled employee,mid-sized city
male,single,60,universty,127371,skilled employee,small city
male,single,31,unknown,145689,skilled employee,small city
male,single,34,high school,102617,unemployed,mid-sized city
male,single,61,universty,90709,unemployed,small city
male,single,43,high school,107099,skilled employee,mid-sized city
female,non-single,37,high school,116021,skilled employee,big city
male,single,32,unknown,100426,skilled employee,big city
female,non-single,24,high school,62249,unemployed,small city
male,single,35,high school,172957,skilled employee,mid-sized city
female,non-single,23,high school,95003,skilled employee,mid-sized city
male,single,45,high school,109698,unemployed,small city
male,non-single,34,high school,157376,skilled employee,small city
male,single,27,unknown,123191,skilled employee,big city
female,non-single,67,graduate school,171052,highly qualified employee,small city
male,single,22,unknown,99328,skilled employee,small city
female,non-single,28,high school,133799,skilled employee,big city
female,non-single,29,high school,138256,skilled employee,big city
male,single,27,unknown,115638,skilled employee,small city
male,single,31,unknown,82238,unemployed,small city
male,single,49,high school,127543,skilled employee,mid-sized city
male,single,24,unknown,63987,unemployed,small city
female,non-single,29,high school,114784,skilled employee,small city
male,single,37,high school,217450,skilled employee,mid-sized city
male,single,37,high school,173751,highly qualified employee,big city
female,non-single,23,high school,122850,skilled employee,small city
male,non-single,36,high school,104953,skilled employee,small city
male,single,34,high school,152371,skilled employee,mid-sized city
male,single,41,high school,139905,skilled employee,small city
female,non-single,31,high school,156700,skilled employee,mid-sized city
female,non-single,23,high school,86488,unemployed,small city
male,single,38,high school,147472,skilled employee,small city
female,non-single,26,high school,169991,highly qualified employee,small city
female,non-single,22,high school,62381,unemployed,small city
male,single,27,unknown,70926,unemployed,small city
female,non-single,24,high school,113004,skilled employee,mid-sized city
female,non-single,27,high school,125760,skilled employee,small city
female,non-single,33,high school,111918,skilled employee,big city
male,non-single,27,high school,120674,skilled employee,mid-sized city
male,non-single,27,high school,63597,unemployed,small city
male,single,30,unknown,103069,skilled employee,mid-sized city
male,single,49,high school,108079,unemployed,small city
female,non-single,26,high school,101159,skilled employee,mid-sized city
male,single,33,high school,88211,unemployed,small city
female,non-single,52,universty,159052,highly qualified employee,mid-sized city
female,non-single,20,high school,102623,skilled employee,big city
male,single,36,high school,115589,skilled employee,small city
male,single,21,unknown,59127,unemployed,small city
male,non-single,47,universty,82240,unemployed,small city
male,single,60,universty,129425,skilled employee,mid-sized city
female,non-single,58,universty,87058,unemployed,small city
female,non-single,42,universty,128462,skilled employee,big city
female,non-single,36,high school,121403,unemployed,small city
female,non-single,20,high school,88141,unemployed,small city
